id,created_at,updated_at,version,srd_version,name,category,description
fb2976c5-ded3-5a7f-a663-be809d14cca1,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Cackle Fever,CONTAGION,"Magical Contagion Cheaply made potions and elixirs are sometimes tainted by Cackle Fever, which affects Humanoids only (gnomes are strangely immune). A creature suffers the following effects 1d4 days after infection: Fever. The creature gains 1 Exhaustion level, which lasts until the contagion ends on the creature. Uncontrollable Laughter. While the creature has the Exhaustion condition, the creature makes a DC 13 Constitution saving throw each time it takes damage other than Psychic damage. On a failed save, the creature takes 5 (1d10) Psychic damage and has the Incapacitated condition as it laughs uncontrollably. At the end of each of its turns, the creature repeats the save, ending the effect on itself on a success. After 1 minute, it succeeds automatically.

Fighting the Contagion. At the end of each Long Rest, an infected creature makes a DC 13 Constitution saving throw. After the creature succeeds on three of these saves, the contagion ends on it, and the creature is immune to Cackle Fever for 1 year.

Spreading the Contagion. Any Humanoid (other than a gnome) that starts its turn within a 10-foot Emanation originating from a creature infected with Cackle Fever must succeed on a DC 10 Constitution saving throw or also become infected with the contagion. On a successful save, the Humanoid can't catch the contagion from that particular infected creature for the next 24 hours."
63b96408-9c7b-51e6-8a41-8f85d9c33acf,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Sewer Plague,CONTAGION,"Magical Contagion Fouled potions and alchemical waste can give rise to Sewer Plague, which incubates in sewers and refuse heaps and is sometimes transmitted by creatures that dwell in such areas, including otyughs and rats. Any Humanoid that is wounded by a creature that carries the contagion or that comes into contact with contaminated filth or offal must succeed on a DC 11 Constitution saving throw or become infected with Sewer Plague. A creature suffers the following effects 1d4 days after infection: Fatigue. The creature gains 1 Exhaustion level. Weakness. While the creature has any Exhaustion levels, it regains only half the normal number of Hit Points from spending Hit Point Dice. Restlessness. While the creature has any Exhaustion levels, finishing a Long Rest neither restores lost Hit Points nor reduces the creature's Exhaustion level.

Fighting the Contagion. Daily at dawn, an infected creature makes a DC 11 Constitution saving throw. On a failed save, the creature gains 1 Exhaustion level as its fatigue worsens. On a successful save, the creature's Exhaustion level decreases by 1. If the creature's Exhaustion level is reduced to 0, the contagion ends on the creature."
24b1980e-95ec-5d7a-82c7-e89bfc6b2500,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Sight Rot,CONTAGION,"Magical Contagion Any Beast or Humanoid that drinks water tainted by Sight Rot must succeed on a DC 15 Constitution saving throw or have the Blinded condition until the contagion ends.

Fighting the Contagion. Magic such as a Heal or Lesser Restoration spell ends the contagion immediately. A character who is proficient with an Herbalism Kit can use it to create one dose of nonmagical ointment, which takes 1 hour. When applied to the eyes of a creature suffering from Sight Rot, the ointment suppresses the contagion on that creature for 24 hours. If the contagion is suppressed in this way for a total of 72 hours (requiring three doses and applications of the ointment), the contagion ends on the creature.

Spreading the Contagion. Any Humanoid that makes skin contact with a creature infected with Sight Rot must succeed on a DC 15 Constitution saving throw or also become infected with the contagion. On a successful save, the Humanoid can't catch the contagion from that particular infected creature for the next 24 hours."
a54e1fdc-74d0-5f95-b30a-7f3db20adc1e,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Deep Water,ENVIRONMENT,"Swimming through deep water (more than 100 feet deep) presents additional challenges because of the water's pressure and cold temperature. After each hour of swimming in deep water, a creature that lacks a Swim Speed must succeed on a DC 10 Constitution saving throw or gain 1 Exhaustion level."
74b6c06b-fa75-589f-bcd0-d0ed814c6c96,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Extreme Cold,ENVIRONMENT,"When the temperature is 0 degrees Fahrenheit or lower, a creature exposed to the extreme cold must succeed on a DC 10 Constitution saving throw at the end of each hour or gain 1 Exhaustion level. Creatures that have Resistance or Immunity to Cold damage automatically succeed on the save."
3804c2ff-8fc6-5367-9533-f3f9f38296e1,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Extreme Heat,ENVIRONMENT,"When the temperature is 100 degrees Fahrenheit or higher, a creature exposed to the extreme heat and without access to drinkable water must succeed on a Constitution saving throw at the end of each hour or gain 1 Exhaustion level. The DC is 5 for the first hour and increases by 1 for each additional hour. Creatures wearing Medium or Heavy armor have Disadvantage on the save. Creatures that have Resistance or Immunity to Fire damage automatically succeed on the save."
d103e754-1754-5c76-beab-bb535b5da601,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Frigid Water,ENVIRONMENT,"A creature can be immersed in frigid water for a number of minutes equal to its Constitution score before suffering any ill effects. Each additional minute spent in frigid water requires the creature to succeed on a DC 10 Constitution saving throw or gain 1 Exhaustion level. Creatures with Resistance or Immunity to Cold damage automatically succeed on the save, as do creatures that are naturally adapted to living in ice-cold water."
8b04ceca-c83f-561d-aae5-718178b6018c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Heavy Precipitation,ENVIRONMENT,"Everything within an area of heavy rain or heavy snowfall is Lightly Obscured, and creatures in the area have Disadvantage on all Wisdom (Perception) checks. Heavy rain also extinguishes open flames."
1fa6efe1-c792-5ffa-b319-330d269a1799,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,High Altitude,ENVIRONMENT,"Traveling at altitudes of 10,000 feet or higher above sea level is taxing for most creatures because of the reduced amount of oxygen in the air. Each hour such a creature spends traveling at high altitude counts as 2 hours for the purpose of determining how long that creature can travel (see ""Travel Pace"").

Creatures can become acclimated to a high altitude by spending 30 days or more at this elevation. Creatures can't become acclimated to elevations above 20,000 feet unless they are native to such environments."
f0a4461b-f25f-5b50-b386-0b97c9648fb2,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Slippery Ice,ENVIRONMENT,Slippery ice is Difficult Terrain. A creature that moves onto slippery ice for the first time on a turn or starts its turn there must succeed on a DC 10 Dexterity saving throw or have the Prone condition.
