id,created_at,updated_at,version,srd_version,name,item_category,cost_gp,poison_type,description
0eee4222-50b1-5d72-b62c-9722236f7dcd,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Assassin's Blood,POISON,150.0,INGESTED,"A creature subjected to Assassin's Blood makes a DC 10 Constitution saving throw. On a failed save, the creature takes 6 (1d12) Poison damage and has the Poisoned condition for 24 hours. On a successful save, the creature takes half as much damage only."
b788b3df-59ec-5c2b-9d9f-9d722f4960ab,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Burnt Othur Fumes,POISON,500.0,INHALED,"A creature subjected to Burnt Othur Fumes must succeed on a DC 13 Constitution saving throw or take 10 (3d6) Poison damage, and it must repeat the save at the start of each of its turns. On each successive failed save, the creature takes 3 (1d6) Poison damage. After three successful saves, the poison ends."
b3543608-2d60-5762-9e59-407b1b0b8c76,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Crawler Mucus,POISON,200.0,CONTACT,"A creature subjected to Crawler Mucus must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 1 minute. The creature also has the Paralyzed condition while Poisoned in this way. The creature repeats the save at the end of each of its turns, ending the effect on itself on a success."
d22f71b1-2473-5df1-9d73-60546c03ed8d,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Essence of Ether,POISON,300.0,INHALED,A creature subjected to Essence of Ether must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 8 hours. The creature also has the Unconscious condition while Poisoned in this way. The creature wakes up if it takes damage or if another creature takes an action to shake it awake.
60d9b925-5874-51f2-9d27-13e3ff26fe07,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Malice,POISON,250.0,INHALED,A creature subjected to Malice must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 1 hour. The creature also has the Blinded condition while Poisoned in this way.
3e08cbaa-21ea-584b-8848-4e1831ac7dac,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Midnight Tears,POISON,1500.0,INGESTED,"A creature that ingests Midnight Tears suffers no effect until the stroke of midnight. Any effect that ends the Poisoned condition neutralizes this poison. If the poison hasn't been neutralized before midnight, the creature makes a DC 17 Constitution saving throw, taking 31 (9d6) Poison damage on a failed save or half as much damage on a successful one."
b01ed177-e481-5e7f-a4f9-0efd69d373fc,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Oil of Taggit,POISON,400.0,CONTACT,A creature subjected to Oil of Taggit must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 24 hours. The creature also has the Unconscious condition while Poisoned in this way. It wakes up if it takes damage.
d1694dfa-f8b0-5196-8c6e-8fd05c2d441c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Pale Tincture,POISON,250.0,INGESTED,"A creature subjected to Pale Tincture must succeed on a DC 16 Constitution saving throw or take 3 (1d6) Poison damage and have the Poisoned condition. The Poisoned creature repeats the save every 24 hours, taking 3 (1d6) Poison damage on a failed save. The damage the poison deals can't be healed by any means while the creature remains Poisoned. After seven successful saves against the poison, the creature is no longer Poisoned."
fde4ecf3-0d34-5217-b97a-c74748f23d4f,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Purple Worm Poison,POISON,2000.0,INJURY,"A creature subjected to Purple Worm Poison makes a DC 21 Constitution saving throw, taking 35 (10d6) Poison damage on a failed save or half as much damage on a successful one."
c25af688-e392-5860-85ed-8289ed5c80e8,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Serpent Venom,POISON,200.0,INJURY,"A creature subjected to Serpent Venom must succeed on a DC 11 Constitution saving throw, taking 10 (3d6) Poison damage on a failed save or half as much damage on a successful one."
9a54c80d-cede-5276-a9ff-81d96f7fd361,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Spider's Sting,POISON,200.0,INJURY,"A creature subjected to Spider's Sting must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 1 hour. If the creature fails the save by 5 or more, the creature also has the Unconscious condition while Poisoned in this way. The creature wakes up if it takes damage or if another creature takes an action to shake it awake."
f539ec5b-7521-5c36-aa73-06c1d7c71b0f,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Torpor,POISON,600.0,INGESTED,A creature subjected to Torpor poison must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 4d6 hours. The creature's Speed is halved while the creature is Poisoned in this way.
e18fa3e8-0c98-5ad9-a642-7b03c8a0b486,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Truth Serum,POISON,150.0,INGESTED,A creature subjected to Truth Serum must succeed on a DC 11 Constitution saving throw or have the Poisoned condition for 1 hour. The Poisoned creature can't knowingly communicate a lie.
46b3da54-1e65-53fb-b441-aa39d270953c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Wyvern Poison,POISON,1200.0,INJURY,"A creature subjected to Wyvern Poison makes a DC 14 Constitution saving throw, taking 24 (7d6) Poison damage on a failed save or half as much damage on a successful one."
