id,created_at,updated_at,version,srd_version,name,vocation_id,description
da2a1d48-ef45-5ea9-bba8-7e7579e0805a,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Path of the Berserker,9f6a6acf-2d56-5990-9e11-65ad14cc0724,"Channel Rage into Violent Fury Barbarians who walk the Path of the Berserker direct their Rage primarily toward violence. Their path is one of untrammeled fury, and they thrill in the chaos of battle as they allow their Rage to seize and empower them."
bb6a1fe0-4123-52a8-a565-c76e876c250a,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,College of Lore,3dbe561c-5bcb-5d63-9d45-b138153ed9d7,"Plumb the Depths of Magical Knowledge Bards of the College of Lore collect spells and secrets from diverse sources, such as scholarly tomes, mystical rites, and peasant tales. The college's members gather in libraries and universities to share their lore with one another. They also meet at festivals or affairs of state, where they can expose corruption, unravel lies, and poke fun at self-important figures of authority."
b55218ca-2de8-5705-af1d-24acbfe2f75c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Life Domain,5a766548-3c4f-5273-89ee-11a90d1e7ce1,"Soothe the Hurts of the World The Life Domain focuses on the positive energy that helps sustain all life in the multiverse. Clerics who tap into this domain are masters of healing, using that life force to cure many hurts.

Existence itself relies on the positive energy associated with this domain, so a Cleric of almost any religious tradition might choose it. This domain is particularly associated with agricultural deities, gods of healing or endurance, and gods of home and community. Religious orders of healing also seek the magic of this domain."
7514ab83-4164-5d75-9d7a-4770b10bbe5d,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Circle of the Land,d328bebd-d404-53ab-a8e1-30020cfac6e6,Celebrate Connection to the Natural World The Circle of the Land comprises mystics and sages who safeguard ancient knowledge and rites. These Druids meet within sacred circles of trees or standing stones to whisper primal secrets in Druidic. The circle's wisest members preside as the chief priests of their communities.
f1304d31-ec62-5275-8331-c8977c999cc9,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Champion,b3a53882-ce37-5c3f-b5eb-8498bf6fe14a,"Pursue Physical Excellence in Combat A Champion focuses on the development of martial prowess in a relentless pursuit of victory. Champions combine rigorous training with physical excellence to deal devastating blows, withstand peril, and garner glory. Whether in athletic contests or bloody battle, Champions strive for the crown of the victor."
65614fa5-20bb-590d-b163-756208d5da21,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Warrior of the Open Hand,29f83bd3-fe5f-5fa3-889f-c685c82ea177,Master Unarmed Combat Techniques Warriors of the Open Hand are masters of unarmed combat. They learn techniques to push and trip their opponents and manipulate their own energy to protect themselves from harm.
1a8b5a6e-ba1b-57c2-836b-4f0eb24e9601,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Oath of Devotion,eeb719a0-134e-5484-837c-c2ca360facaf,"Uphold the Ideals of Justice and Order The Oath of Devotion binds Paladins to the ideals of justice and order. These Paladins meet the archetype of the knight in shining armor. They hold themselves to the highest standards of conduct, and some—for better or worse—hold the rest of the world to the same standards.

Many who swear this oath are devoted to gods of law and good and use their gods' tenets as the measure of personal devotion. Others hold angels as their ideals and incorporate images of angelic wings into their helmets or coats of arms.

These paladins share the following tenets: •  Let your word be your promise. •  Protect the weak and never fear to act. •  Let your honorable deeds be an example."
9972cb16-24c1-508d-8f5a-67fd522d3a3a,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Hunter,bfb29762-cbb4-532e-a82f-54808c7e209d,"Protect Nature and People from Destruction You stalk prey in the wilds and elsewhere, using your abilities as a Hunter to protect nature and people everywhere from forces that would destroy them."
15489081-068c-52af-bf7b-f3e48ae5fd6f,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Thief,12b7133c-16a4-5974-93f6-f5a3b65bd670,"Hunt for Treasure as a Classic Adventurer A mix of burglar, treasure hunter, and explorer, you are the epitome of an adventurer. In addition to improving your agility and stealth, you gain abilities useful for delving into ruins and getting maximum benefit from the magic items you find there."
11584b2d-4f1c-566e-b181-2dc30d8b55fe,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Draconic Sorcery,d8f1aa54-e1c7-55f0-9436-1da48a0ba8be,Breathe the Magic of Dragons Your innate magic comes from the gift of a dragon. Perhaps an ancient dragon facing death bequeathed some of its magical power to you or your ancestor. You might have absorbed magic from a site infused with dragons' power. Or perhaps you handled a treasure taken from a dragon's hoard that was steeped in draconic power. Or you might have a dragon for an ancestor.
b570867e-a55b-5c00-a63e-f1b724152b99,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Fiend Patron,d5dabf61-a3cb-5dde-a75e-9667de1e6294,"Make a Deal with the Lower Planes Your pact draws on the Lower Planes, the realms of perdition. You might forge a bargain with a demon lord, an archdevil, or another fiend that is especially mighty. That patron's aims are evil—the corruption or destruction of all things, ultimately including you—and your path is defined by the extent to which you strive against those aims."
fa71eb5a-10ad-57e4-940b-33fb87030145,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Evoker,809eb721-f97d-511f-8874-9bfe81c64628,"Create Explosive Elemental Effects Your studies focus on magic that creates powerful elemental effects such as bitter cold, searing flame, rolling thunder, crackling lightning, and burning acid. Some Evokers find employment in military forces, serving as artillery to blast armies from afar. Others use their power to protect others, while some seek their own gain."
